listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability,n,sscore,avgsscore,clus
3075044,42.2852178,-71.1342563,4.79,5.28,4.85,7.2,9.47,6.33,8.14,6.92,2.14,5.8,65,1,65,94,1.3,36,1,1,2,100,1,1,1,359,174,370,2.1264367816092,4
6976,42.2918888,-71.1350492,4.36,4.82,4.63,6.74,9.49,6.32,8.11,6.93,1.69,5.54,65,1,65,98,0.47,41,1,1,2,100,1,1,1,319,278,566,2.03597122302158,4
7651065,42.2839824,-71.1357287,4.86,5.33,4.97,7.24,9.59,6.45,8.25,7.03,2.18,5.92,79,2,39.5,99,2.25,29,2,1,2,100,1,1.5,1,334,157,299,1.90445859872611,4
12386020,42.2937491,-71.1305477,4.03,4.49,4.3,6.41,9.07,5.98,7.73,6.51,1.35,5.2,75,1,75,100,1.7,8,3,1,2,100,2,1,1,58,53,124,2.33962264150943,4
5706985,42.2803086,-71.1313643,4.94,5.56,5.01,7.53,9.63,6.49,8.29,7.07,2.39,5.96,100,2,50,90,4,57,1,2,3,98,5,1,1,344,264,479,1.81439393939394,4
2843445,42.2795479,-71.1355308,5.05,5.66,5.11,7.59,9.73,6.59,8.4,7.17,2.49,6.06,75,1,75,96,2.38,67,2,1,2,100,2,2,1,365,480,1047,2.18125,4
753446,42.284581,-71.1250004,4.65,5.27,4.72,7.24,9.34,6.2,8.01,6.78,2.1,5.67,58,2,29,96,5.36,65,3,1,2,100,1,1,1,347,313,631,2.01597444089457,4
849408,42.2776715,-71.1604063,5.99,6.45,6.26,8.37,11.25,7.95,9.74,8.69,3.32,7.17,229,2,114.5,94,1.01,33,1,2,5,100,2,1,2,107,250,473,1.892,4
1668313,42.2839824,-71.1357287,4.86,5.33,4.97,7.24,9.59,6.45,8.25,7.03,2.18,5.92,57,1,57,94,0.48,17,2,1,1,100,2,1,1,341,102,192,1.88235294117647,4
13547301,42.2895642,-71.1298046,4.39,4.85,4.66,6.77,9.18,6.04,7.84,6.62,1.71,5.51,150,3,50,97,4.93,12,1,2,5,100,1,1,2,129,61,101,1.65573770491803,4
5434353,42.2870209,-71.1404614,4.81,5.27,5.08,7.19,9.79,6.65,8.46,7.23,2.14,5.99,145,2,72.5,91,0.56,7,2,2,2,75,1,1.5,2,319,28,69,2.46428571428571,4
225979,42.2803001,-71.1298518,4.93,5.55,5,7.52,9.62,6.48,8.28,7.06,2.38,5.95,60,1,60,96,1.16,70,1,1,1,100,2,0,1,339,465,924,1.98709677419355,4
7252607,42.2847263,-71.1141626,4.62,5.24,4.69,7.21,9.31,6.17,7.97,6.75,2.32,5.64,49,1,49,95,0.29,4,2,1,2,100,3,1,1,262,10,24,2.4,4
2583074,42.2790067,-71.1361654,5.1,5.71,5.16,7.61,9.78,6.64,8.45,7.22,2.54,6.11,40,1,40,99,1.24,31,4,1,1,100,3,2.5,1,332,163,322,1.97546012269939,4
13251243,42.2936962,-71.1391139,4.27,4.74,4.54,6.65,9.52,6.23,8.02,6.96,1.6,5.45,120,2,60,98,5.93,16,2,2,3,100,1,1,0,207,115,239,2.07826086956522,4
225834,42.2803001,-71.1298518,4.93,5.55,5,7.52,9.62,6.48,8.28,7.06,2.38,5.95,70,1,70,98,0.63,38,1,1,2,100,2,0,1,299,251,498,1.98406374501992,4
6400432,42.2759084,-71.1256625,5.16,5.77,5.23,7.74,9.84,6.7,8.51,7.29,2.76,6.17,150,5,30,88,1.58,21,2,2,8,100,1,1,3,0,130,210,1.61538461538462,4
894539,42.2903635,-71.1309353,4.32,4.79,4.59,6.7,9.26,6.12,7.92,6.7,1.64,5.49,95,1,95,96,1.13,40,2,1,2,100,2,1.5,1,1,236,509,2.15677966101695,4
879929,42.2903635,-71.1309353,4.32,4.79,4.59,6.7,9.26,6.12,7.92,6.7,1.64,5.49,90,1,90,95,1.06,43,1,1,2,100,1,1,1,122,288,599,2.07986111111111,4
9218312,42.2895642,-71.1298046,4.39,4.85,4.66,6.77,9.18,6.04,7.84,6.62,1.71,5.51,95,1,95,99,4.02,33,2,1,2,100,1,1,1,107,199,465,2.33668341708543,4
321328,42.2916525,-71.1347054,4.38,4.84,4.65,6.76,9.46,6.34,8.13,6.91,1.71,5.56,100,2,50,90,0.21,11,1,1,2,60,1,1,1,356,56,118,2.10714285714286,4
