listing_id,lat,lon,price,beds,price_bed,neighbourhood,property_type,room_type,accommodates
12147973,42.2851663,-71.1319945,$250.00,3,83.3333333333333,Roslindale,House,Entire home/apt,4
3075044,42.2852178,-71.1342563,$65.00,1,65,Roslindale,Apartment,Private room,2
6976,42.2918888,-71.1350492,$65.00,1,65,Roslindale,Apartment,Private room,2
1436513,42.3600825,-71.0588801,$75.00,2,37.5,Roslindale,House,Private room,4
7651065,42.2839824,-71.1357287,$79.00,2,39.5,Roslindale,House,Private room,2
12386020,42.2937491,-71.1305477,$75.00,1,75,Roslindale,Condominium,Private room,2
5706985,42.2803086,-71.1313643,$100.00,2,50,Roslindale,Apartment,Entire home/apt,3
2843445,42.2795479,-71.1355308,$75.00,1,75,Roslindale,House,Private room,2
753446,42.284581,-71.1250004,$58.00,2,29,Roslindale,Condominium,Private room,2
849408,42.2776715,-71.1604063,$229.00,2,114.5,Roslindale,Apartment,Entire home/apt,5
12023024,42.2837149,-71.141041,$60.00,1,60,Roslindale,House,Private room,2
1668313,42.2839824,-71.1357287,$57.00,1,57,Roslindale,House,Private room,1
2684840,42.2907406,-71.130176,$93.00,2,46.5,Roslindale,Condominium,Entire home/apt,4
13547301,42.2895642,-71.1298046,$150.00,3,50,Roslindale,Apartment,Entire home/apt,5
5434353,42.2870209,-71.1404614,$145.00,2,72.5,Roslindale,House,Entire home/apt,2
225979,42.2803001,-71.1298518,$60.00,1,60,Roslindale,Apartment,Private room,1
3420384,42.2746464,-71.1260763,$165.00,3,55,Roslindale,House,Private room,4
13512930,42.2907406,-71.130176,$75.00,1,75,Roslindale,Condominium,Private room,2
7482195,42.2847263,-71.1141626,$49.00,1,49,Roslindale,House,Private room,1
7252607,42.2847263,-71.1141626,$49.00,1,49,Roslindale,House,Private room,2
2583074,42.2790067,-71.1361654,$40.00,1,40,Roslindale,Villa,Private room,1
13251243,42.2936962,-71.1391139,$120.00,2,60,Roslindale,House,Entire home/apt,3
225834,42.2803001,-71.1298518,$70.00,1,70,Roslindale,Apartment,Private room,2
6400432,42.2759084,-71.1256625,$150.00,5,30,Roslindale,House,Entire home/apt,8
5498472,42.275997,-71.1284718,$175.00,3,58.3333333333333,Roslindale,House,Entire home/apt,5
894539,42.2903635,-71.1309353,$95.00,1,95,Roslindale,House,Private room,2
879929,42.2903635,-71.1309353,$90.00,1,90,Roslindale,Apartment,Private room,2
9218312,42.2895642,-71.1298046,$95.00,1,95,Roslindale,House,Private room,2
321328,42.2916525,-71.1347054,$100.00,2,50,Roslindale,Apartment,Private room,2
1810172,42.2839824,-71.1357287,$67.00,1,67,Roslindale,House,Private room,2
6513924,42.2836161,-71.1190032,$55.00,1,55,Roslindale,Condominium,Private room,1
7093109,42.2836161,-71.1190032,$200.00,2,100,Roslindale,Apartment,Entire home/apt,6
14690527,42.2882344,-71.1300521,$150.00,2,75,Roslindale,Apartment,Entire home/apt,4
7086825,42.2847263,-71.1141626,$49.00,1,49,Roslindale,House,Private room,1
1861070,42.2776651,-71.1288328,$75.00,1,75,Roslindale,House,Private room,1
4283698,42.2901557,-71.137989,$110.00,2,55,Roslindale,House,Entire home/apt,4
10116095,42.2904978,-71.1344368,$115.00,1,115,Roslindale,Apartment,Private room,2
8548176,42.2803086,-71.1313643,$125.00,5,25,Roslindale,House,Entire home/apt,16
4922204,42.2803086,-71.1313643,$200.00,7,28.5714285714286,Roslindale,House,Entire home/apt,16
4085362,42.2795479,-71.1355308,$75.00,1,75,Roslindale,House,Private room,2
3755609,42.2759084,-71.1256625,$78.00,1,78,Roslindale,House,Private room,1
13768853,42.288908,-71.1341622,$50.00,2,25,Roslindale,Apartment,Private room,4
1936861,42.2901557,-71.137989,$60.00,1,60,Roslindale,Apartment,Private room,1
4461111,42.2790067,-71.1361654,$45.00,1,45,Roslindale,House,Private room,1
1724900,42.2851663,-71.1319945,$145.00,2,72.5,Roslindale,House,Entire home/apt,4
13937181,42.2760159,-71.1355519,$45.00,1,45,Roslindale,House,Private room,2
3968797,42.2903635,-71.1309353,$85.00,1,85,Roslindale,House,Private room,2
1494726,42.2755249,-71.1312728,$75.00,1,75,Roslindale,House,Private room,1
8473851,42.2784885,-71.1372684,$50.00,1,50,Roslindale,House,Private room,2
3575220,42.2790067,-71.1361654,$45.00,1,45,Roslindale,House,Private room,1
1591827,42.2836161,-71.1190032,$60.00,1,60,Roslindale,House,Private room,2
3229255,42.2852178,-71.1342563,$95.00,1,95,Roslindale,Apartment,Entire home/apt,3
1721016,42.2851663,-71.1319945,$89.00,1,89,Roslindale,Apartment,Entire home/apt,2
12535687,42.2837499,-71.1302866,$110.00,2,55,Roslindale,Apartment,Entire home/apt,3
12994227,42.2980991,-71.1126716,$65.00,1,65,Roslindale,Condominium,Private room,2
12927298,42.2922625,-71.1342907,$285.00,3,95,Roslindale,House,Entire home/apt,7
169938,42.3118724,-71.1047488,$140.00,1,140,Jamaica Plain,Apartment,Entire home/apt,4
594693,42.2955696,-71.1220297,$70.00,1,70,Jamaica Plain,Apartment,Private room,2
2384581,42.3104274,-71.1173996,$95.00,1,95,Jamaica Plain,House,Private room,2
735970,42.3166444,-71.1142376,$55.00,1,55,Jamaica Plain,Bed & Breakfast,Private room,2
4262255,42.3041938,-71.1062922,$80.00,1,80,Jamaica Plain,Apartment,Private room,2
4000384,42.3167197,-71.1007364,$120.00,1,120,Jamaica Plain,House,Private room,2
6693305,42.3208799,-71.1065402,$65.00,1,65,Jamaica Plain,Apartment,Private room,2
6730758,42.3133696,-71.1043735,$100.00,2,50,Jamaica Plain,Apartment,Private room,4
6248970,42.3209036,-71.104655,$65.00,1,65,Jamaica Plain,Apartment,Private room,1
12806707,42.3157967,-71.1150174,$60.00,1,60,Jamaica Plain,House,Private room,1
14246616,42.3208799,-71.1065402,$63.00,1,63,Jamaica Plain,Apartment,Private room,2
3703674,42.3140033,-71.1122811,$75.00,1,75,Jamaica Plain,Townhouse,Private room,2
4792901,42.3157967,-71.1150174,$65.00,1,65,Jamaica Plain,House,Private room,2
5717528,42.3176253,-71.1064023,$110.00,1,110,Jamaica Plain,Apartment,Private room,1
5601743,42.3129882,-71.1028974,$46.00,1,46,Jamaica Plain,House,Private room,2
13333862,42.3155639,-71.1032737,$75.00,1,75,Jamaica Plain,Apartment,Private room,3
519272,42.3040313,-71.1064623,$62.00,1,62,Jamaica Plain,Apartment,Private room,2
14090779,42.3169796,-71.1124623,$69.00,1,69,Jamaica Plain,Condominium,Private room,2
8481291,42.3120135,-71.1003526,$69.00,1,69,Jamaica Plain,Apartment,Private room,2
